genero,capacitación,año
M,SUSPENSIÓN Y DIRECCIÓN,2021
F,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
F,SUSPENSIÓN Y DIRECCIÓN,2021
M,SUSPENSIÓN Y DIRECCIÓN,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
F,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
M,Carpintería en Aluminio,2021
F,Carpintería en Aluminio,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
F,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Escuela de Charqueadores y Despostado,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
F,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
M,Electromecánica del Automotor,2021
